,user,month,year,Score,hour
121,Sh@eks,8,2022,0.0,13.857142857142858
122,Sh@eks,10,2022,-0.04857142857142858,20.571428571428573
123,Sh@eks,11,2022,0.0,12.666666666666666
124,Sh@eks,12,2022,0.0,14.5
125,Silent Assassin,1,2022,0.049313333333333334,14.666666666666666
126,Silent Assassin,1,2023,0.11741428571428571,12.857142857142858
127,Silent Assassin,2,2022,-0.038471428571428566,17.285714285714285
128,Silent Assassin,2,2023,0.07485454545454545,20.454545454545453
129,Silent Assassin,3,2022,0.006993333333333333,17.133333333333333
130,Silent Assassin,3,2023,0.0,23.0
131,Silent Assassin,4,2022,0.01994,16.34285714285714
132,Silent Assassin,4,2023,-0.100475,19.0
133,Silent Assassin,5,2022,0.03812666666666666,15.466666666666667
134,Silent Assassin,6,2022,0.0,11.8
135,Silent Assassin,7,2022,-0.04361764705882353,17.647058823529413
136,Silent Assassin,7,2023,-0.119175,20.0
137,Silent Assassin,8,2022,0.0018694444444444453,14.694444444444445
138,Silent Assassin,9,2022,0.02386315789473684,15.31578947368421
139,Silent Assassin,10,2022,-0.03482,12.066666666666666
140,Silent Assassin,11,2022,0.0,16.25
141,Silent Assassin,11,2023,0.0,19.0
142,Silent Assassin,12,2022,0.09156666666666666,15.933333333333334
143,Silent Assassin,12,2023,0.4215,21.0
144,Street King,1,2022,-0.002192934782608696,14.050271739130435
145,Street King,1,2023,0.007980161943319837,14.02834008097166
146,Street King,2,2022,-0.00915943600867679,15.357917570498916
147,Street King,2,2023,0.017439268292682927,12.72439024390244
148,Street King,3,2022,0.005604562737642585,14.916349809885931
149,Street King,3,2023,0.049895774647887324,15.225352112676056
150,Street King,4,2022,5.995423340961124e-05,15.578947368421053
151,Street King,4,2023,0.023221666666666665,11.433333333333334
152,Street King,5,2022,0.0036015950920245394,14.882208588957056
153,Street King,5,2023,0.007061111111111111,17.77777777777778
154,Street King,6,2022,0.016668062015503877,15.644961240310078
155,Street King,6,2023,-0.031472,18.8
156,Street King,7,2022,0.01047667638483965,14.956268221574344
157,Street King,7,2023,-0.11044000000000001,11.933333333333334
158,Street King,8,2022,0.020257667103538664,14.024901703800786
159,Street King,8,2023,-0.0282,16.869565217391305
160,Street King,9,2022,0.003701216216216216,14.96081081081081
161,Street King,9,2023,0.055139999999999995,16.32
162,Street King,10,2022,-0.002201933701657459,12.596685082872929
163,Street King,10,2023,0.014420967741935482,15.806451612903226
164,Street King,11,2022,0.002547297297297298,14.111486486486486
165,Street King,11,2023,0.04727666666666666,16.433333333333334
166,Street King,12,2022,0.02025858407079646,13.605309734513275
167,Street King,12,2023,0.0032413043478260847,12.152173913043478
168,Tip Star,1,2022,-0.00012688172043010787,14.763440860215054
169,Tip Star,1,2023,0.015293636363636365,15.018181818181818
170,Tip Star,2,2022,-0.008163636363636362,11.974025974025974
171,Tip Star,2,2023,0.024604878048780487,12.252032520325203
172,Tip Star,3,2022,0.0021777777777777754,14.583333333333334
173,Tip Star,3,2023,0.0,12.5
174,Tip Star,4,2022,-0.0018999999999999996,15.639344262295081
175,Tip Star,4,2023,0.00026666666666666505,13.642857142857142
176,Tip Star,5,2022,0.02267857142857143,14.083333333333334
177,Tip Star,5,2023,0.0,15.0
178,Tip Star,6,2022,0.012345121951219512,14.085365853658537
179,Tip Star,6,2023,0.0,18.333333333333332
180,Tip Star,7,2022,0.007852173913043478,14.478260869565217
181,Tip Star,7,2023,-0.026909090909090907,17.545454545454547
182,Tip Star,8,2022,0.006779054054054053,15.121621621621621
183,Tip Star,8,2023,-0.011411111111111111,8.777777777777779
184,Tip Star,9,2022,0.001829166666666666,14.591666666666667
185,Tip Star,9,2023,0.0,15.714285714285714
186,Tip Star,10,2022,0.027831182795698923,12.849462365591398
187,Tip Star,10,2023,-0.029599999999999998,16.6
188,Tip Star,11,2022,0.0017846153846153856,14.961538461538462
189,Tip Star,11,2023,0.0,13.0
190,Tip Star,12,2022,0.022149000000000002,13.75
191,Tip Star,12,2023,0.062421874999999995,17.40625
192,Uncle Waffles,1,2022,0.031201785714285717,12.8125
193,Uncle Waffles,1,2023,-0.0008690972222222208,14.625
194,Uncle Waffles,2,2022,0.0117,15.693333333333333
195,Uncle Waffles,2,2023,-0.009901501501501502,13.375375375375375
196,Uncle Waffles,3,2022,-0.006599999999999998,15.666666666666666
197,Uncle Waffles,3,2023,-0.003919444444444443,16.069444444444443
198,Uncle Waffles,4,2022,-0.011156043956043955,14.758241758241759
199,Uncle Waffles,4,2023,0.005650684931506848,11.602739726027398
200,Uncle Waffles,5,2022,0.0017576219512195129,16.109756097560975
201,Uncle Waffles,5,2023,-0.016309090909090912,17.40909090909091
202,Uncle Waffles,6,2022,0.011244308943089433,15.373983739837398
203,Uncle Waffles,6,2023,-0.028631578947368418,14.0
204,Uncle Waffles,7,2022,0.012879835390946502,12.876543209876543
205,Uncle Waffles,7,2023,-0.04111176470588235,12.705882352941176
206,Uncle Waffles,8,2022,0.002029375,15.6875
207,Uncle Waffles,8,2023,-0.026342105263157892,13.526315789473685
208,Uncle Waffles,9,2022,-0.000905900621118013,14.996894409937887
209,Uncle Waffles,9,2023,-0.06171,18.75
210,Uncle Waffles,10,2022,-0.011433149171270718,15.596685082872929
211,Uncle Waffles,10,2023,-0.02134810126582278,16.329113924050635
212,Uncle Waffles,11,2022,0.030869,14.36
213,Uncle Waffles,11,2023,-0.014463636363636363,10.0
214,Uncle Waffles,12,2022,0.006359947643979058,13.790575916230367
215,Uncle Waffles,12,2023,0.1148156862745098,19.294117647058822
